"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ"
0,160,26,43.6,45.2,34.3,83.4,96.1,801,5,1.7,67.7,41,13,2118,12.9
0,165,14,44.3,45.9,34.7,86.7,98.9,824,4,1.6,70.1,40,12.8,2190,12.9
0,170,2,45,46.6,35.1,90,101.7,847,3,1.5,72.5,39,12.6,2262,12.9
0,175,NA,45.7,47.3,35.5,93.3,104.5,870,2,1.4,74.9,38,12.4,2334,12.9
0,180,NA,46.4,48,35.9,96.6,107.3,893,1,1.3,77.3,37,12.2,2406,12.9
1,20,5863,1.9,5.7,7.2,0.9,1.6,0,3237,7.3,2.9,12,4.7,0,0.2
1,25,4918,4.5,8.1,9.2,3.1,4.8,0,2664,6.7,4.2,16,6.3,0,1.2
1,30,3973,7.1,10.5,11.2,5.3,8,26,2091,6.1,5.5,20,7.9,55,2.2
1,35,3028,9.7,12.9,13.2,7.5,11.2,54,1518,5.5,6.8,24,9.5,111,3.2
1,40,2083,12.3,15.3,15.2,9.7,14.4,82,945,4.9,8.1,28,11.1,167,4.2
1,45,1487,14.7,17.5,16.9,12,17.7,112,596,4.4,9.7,31,12.2,228,5.1
1,50,1104,16.9,19.5,18.3,14.5,21.1,143,382,4.1,11.7,34,13,293,5.9
1,55,879,18.9,21.4,19.6,16.8,24.5,174,225,3.9,14.9,36,13.5,361,6.6
1,60,721,20.7,23.1,20.8,19.1,27.8,206,159,3.7,17.2,38,13.9,430,7.2
1,65,604,22.3,24.6,21.8,21.4,31.2,237,116,3.5,19.7,39,14.1,501,7.7
1,70,516,23.9,26.1,22.8,23.7,34.5,267,88,3.4,22.1,41,14.2,572,8.2
1,75,447,25.3,27.4,23.7,26,37.7,297,69,3.2,24.4,41,14.2,643,8.6
1,80,391,26.6,28.6,24.5,28.3,40.9,325,56,3.1,26.6,42,14.2,713,8.9
1,85,344,27.7,29.7,25.3,30.6,44,353,46,3,28.7,43,14.1,784,9.2
1,90,305,28.8,30.7,26.1,33,47,380,39,2.9,30.9,43,14,854,9.5
1,95,273,29.8,31.6,26.7,35.3,49.9,406,33,2.8,33.1,43,13.8,923,9.7
1,100,245,30.8,32.5,27.4,37.7,52.8,431,28,2.7,35.3,43,13.7,991,9.9
1,105,221,31.7,33.3,27.9,40.2,55.6,456,24,2.7,37.4,43,13.5,1059,10.1
1,110,200,32.5,34.1,28.5,42.6,58.3,479,21,2.6,39.6,43,13.3,1126,10.2
1,115,181,33.2,34.8,29,45.1,60.9,502,18,2.5,41.8,43,13.1,1191,10.4
1,120,165,33.9,35.4,29.5,47.6,63.4,524,16,2.4,44.1,43,13,1256,10.5
1,125,151,34.6,36,29.9,50.1,65.9,546,14,2.4,46.4,42,12.8,1320,10.6
1,130,139,35.2,36.6,30.3,52.7,68.2,566,13,2.3,48.5,42,12.6,1383,10.6
1,135,127,35.8,37.2,30.7,55.4,70.5,586,11,2.3,50.3,42,12.4,1445,10.7
1,140,117,36.3,37.7,31.1,58.1,72.7,606,10,2.2,52.1,42,12.2,1505,10.8
1,145,108,36.8,38.2,31.5,61,74.8,624,9,2.2,54,41,12,1565,10.8
1,150,99,37.3,38.7,31.9,63.9,76.9,642,8,2.2,55.9,40,11.8,1625,10.8
1,155,90,37.8,39.2,32.3,66.8,79,660,7,2.2,57.8,39,11.6,1685,10.8
1,160,81,38.3,39.7,32.7,69.7,81.1,678,6,2.2,59.7,38,11.4,1745,10.8
1,165,72,38.8,40.2,33.1,72.6,83.2,696,5,2.2,61.6,37,11.2,1805,10.8
1,170,63,39.3,40.7,33.5,75.5,85.3,714,4,2.2,63.5,36,11,1865,10.8
1,175,54,39.8,41.2,33.9,78.4,87.4,732,3,2.2,65.4,35,10.8,1925,10.8
1,180,45,40.3,41.7,34.3,81.3,89.5,750,2,2.2,67.3,34,10.6,1985,10.8
2,20,6542,0.8,3.9,6.8,0.3,NA,0,3024,5.3,2,5,2.9,0,0
2,25,5683,3,6,8.5,2.1,2,0,2591,5,3.1,8,4.1,0,0.2
2,30,4824,5.2,8.1,10.2,3.9,4.9,0,2158,4.7,4.2,11,5.3,2,0.9
2,35,3965,7.4,10.2,11.9,5.7,7.8,23,1725,4.4,5.3,14,6.5,47,1.6
2,40,3106,9.6,12.3,13.6,7.5,10.7,48,1292,4.1,6.4,17,7.7,92,2.3
2,45,2247,11.8,14.4,15.3,9.3,13.6,73,859,3.8,7.5,20,8.9,137,3
2,50,1670,13.8,16.2,16.7,11.3,16.5,99,577,3.6,8.9,23,9.9,186,3.7
