"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ"
0,15,4612,7.6,8.9,14.8,5.8,9.7,59,3119,14.3,6.6,69,22.2,60,5.6
0,20,3404,10.1,11.4,18.3,8.5,13.1,96,2163,12.3,8.5,67,21.3,162,8.1
0,25,2196,12.6,13.9,21.8,11.2,16.5,133,1207,10.3,10.4,65,20.4,264,10.6
0,30,1515,14.8,16.1,24.5,14,19.8,167,682,8.4,12.5,60,19,359,12
0,35,1132,16.9,18.2,26.6,16.8,22.9,200,383,7,15.2,55,17.6,447,12.8
0,40,850,18.8,20.1,28.4,20,26,230,282,5.9,16.3,51,16.3,529,13.2
0,45,680,20.5,21.8,29.8,22.9,28.9,259,170,5.1,19.5,47,15.2,605,13.4
0,50,574,22.1,23.4,31,25.5,31.8,287,107,4.4,22.9,43,14.2,675,13.5
0,55,503,23.6,24.8,32.1,27.7,34.6,313,71,3.9,26.3,40,13.3,742,13.5
0,60,451,24.9,26.1,32.9,29.6,37.3,338,51,3.5,29.3,37,12.5,804,13.4
0,65,412,26.1,27.3,33.6,31.4,39.9,361,39,3.1,31.7,35,11.7,863,13.3
0,70,380,27.1,28.4,34.2,33.2,42.4,384,32,2.8,33.6,33,11.1,918,13.1
0,75,354,28.1,29.3,34.7,34.8,44.9,405,26,2.6,35.5,31,10.5,971,12.9
0,80,332,29,30.2,35.1,36.3,47.3,426,22,2.4,37.6,30,10,1021,12.8
0,85,315,29.8,31,35.5,37.6,49.6,445,18,2.2,39.9,28,9.5,1069,12.6
0,90,299,30.5,31.7,35.7,38.8,51.9,464,15,2.1,42,27,9.1,1114,12.4
0,95,286,31.2,32.4,35.9,39.9,54.1,481,13,2,43.8,26,8.7,1158,12.2
0,100,275,31.8,33,36.1,40.9,56.3,498,11,1.9,45.4,25,8.3,1199,12
0,105,265,32.3,33.5,36.2,41.9,58.4,514,10,1.8,47,24,8,1239,11.8
0,110,256,32.8,34,36.2,42.8,60.4,530,9,1.7,48.6,23,7.7,1278,11.6
0,115,248,33.3,34.5,36.3,43.7,62.4,544,8,1.6,49.7,22,7.4,1315,11.4
0,120,240,33.7,34.9,36.2,44.5,64.4,558,8,1.5,50.5,22,7.1,1350,11.3
0,125,232,34.1,35.3,36.1,45.3,66.4,572,8,1.4,51.3,22,6.8,1385,11.2
0,130,224,34.5,35.7,36,46.1,68.4,586,8,1.3,52.1,22,6.5,1420,11.1
0,135,216,34.9,36.1,35.9,46.9,70.4,600,8,1.2,52.9,22,6.2,1455,11
0,140,208,35.3,36.5,35.8,47.7,72.4,614,8,1.1,53.7,22,5.9,1490,10.9
0,145,200,35.7,36.9,35.7,48.5,74.4,628,8,1,54.5,22,5.6,1525,10.8
0,150,192,36.1,37.3,35.6,49.3,76.4,642,8,0.9,55.3,22,5.3,1560,10.7
0,155,184,36.5,37.7,35.5,50.1,78.4,656,8,0.8,56.1,22,5,1595,10.6
