"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ"
1,15,3639,4.2,5.1,7.8,2.5,7.1,0,2016,6.5,4.4,15,8.7,0,1.8
1,20,2925,7.1,8,12.1,6.1,11.2,33,1582,6,6.1,20,10.9,54,3.5
1,25,2211,10,10.9,16.4,9.7,15.3,80,1148,5.5,7.8,25,13.1,130,5.2
1,30,1497,12.9,13.8,20.7,13.3,19.4,127,714,5,9.5,30,15.3,206,6.9
1,35,1083,15.6,16.5,24.5,17,23.2,177,414,4.5,11.7,32,16.6,289,8.3
1,40,863,18,19,27.8,20.3,26.8,230,220,4.1,15.3,34,17.2,375,9.4
1,45,755,20.3,21.2,30.6,22.7,30.1,282,108,3.8,21,34,17.4,462,10.3
1,50,705,22.3,23.3,33.1,24.4,33.2,334,49,3.5,30.2,35,17.4,550,11
1,55,669,24.1,25.1,35.4,26,36.1,385,36,3.4,34.5,36,17.3,636,11.6
1,60,631,25.8,26.7,37.7,27.6,38.8,434,39,3.3,32.9,36,17.1,721,12
1,65,587,27.2,28.2,39.9,29.4,41.3,481,44,3.2,30.5,37,16.8,805,12.4
1,70,542,28.5,29.5,42.1,31.4,43.6,525,45,3.1,29.8,38,16.4,887,12.7
1,75,501,29.7,30.7,43.9,33.4,45.8,567,41,3.1,30.8,38,16.1,967,12.9
1,80,466,30.7,31.8,45.4,35.2,47.8,606,35,3,32.9,39,15.7,1046,13.1
1,85,435,31.7,32.7,46.7,37,49.7,644,30,3,35.3,39,15.3,1122,13.2
1,90,409,32.5,33.6,47.9,38.6,51.5,678,27,2.9,37.4,40,14.9,1197,13.3
1,95,385,33.3,34.3,49.1,40.3,53.1,711,24,2.9,39.1,40,14.6,1270,13.4
1,100,363,33.9,35,50.3,42,54.7,742,22,2.8,40.8,40,14.2,1341,13.4
1,105,344,34.6,35.6,51.3,43.6,56.2,771,20,2.8,42.3,41,13.9,1411,13.4
1,110,325,35.1,36.2,52.4,45.3,57.6,798,19,2.7,43.2,41,13.5,1478,13.4
1,115,306,35.6,36.8,53.5,47,59,825,18,2.6,44.1,41,13.1,1545,13.4
1,120,287,36.1,37.4,54.6,48.7,60.4,852,17,2.5,45,41,12.7,1612,13.4
1,125,268,36.6,38,55.7,50.4,61.8,879,16,2.4,45.9,41,12.3,1679,13.4
1,130,249,37.1,38.6,56.8,52.1,63.2,906,15,2.3,46.8,41,11.9,1746,13.4
1,135,230,37.6,39.2,57.9,53.8,64.6,933,14,2.2,47.7,41,11.5,1813,13.4
1,140,211,38.1,39.8,59,55.5,66,960,13,2.1,48.6,41,11.1,1880,13.4
1,145,192,38.6,40.4,60.1,57.2,67.4,987,12,2,49.5,41,10.7,1947,13.4
1,150,173,39.1,41,61.2,58.9,68.8,1014,11,1.9,50.4,41,10.3,2014,13.4
1,155,154,39.6,41.6,62.3,60.6,70.2,1041,10,1.8,51.3,41,9.9,2081,13.4
1,160,135,40.1,42.2,63.4,62.3,71.6,1068,9,1.7,52.2,41,9.5,2148,13.4
2,15,4536,2.3,3.1,4,0.9,4.7,0,1984,7.1,4.9,17,6.4,0,0
2,20,3856,4.7,5.5,7.9,3.6,8.2,0,1658,6.5,6,19,8,0,1.3
2,25,3176,7.1,7.9,11.8,6.3,11.7,28,1332,5.9,7.1,21,9.6,53,2.6
2,30,2496,9.5,10.3,15.7,9,15.2,67,1006,5.3,8.2,23,11.2,118,3.9
2,35,1816,11.9,12.7,19.6,11.7,18.7,106,680,4.7,9.3,25,12.8,183,5.2
2,40,1373,14.1,15,22.9,14.6,21.9,148,443,4.1,10.8,27,13.8,252,6.3
2,45,1100,16.2,17.1,25.7,17.2,25,192,273,3.7,13.1,28,14.3,323,7.2
